timestamp_ms,side,price,size,trade_id
1780929694483,sell,63896.7,0.00006,1017413187
1780929694483,sell,63896.7,0.00395099,1017413186
1780929693719,buy,63896.8,0.0040993,1017413185
1780929693719,buy,63896.8,0.000043,1017413184
1780929693554,buy,63896.8,0.00183419,1017413183
1780929693554,buy,63896.8,0.00000001,1017413182
1780929693284,sell,63896.9,0.00083378,1017413181
1780929693271,sell,63898.8,0.00006,1017413180
1780929692751,sell,63898.8,0.002,1017413179
1780929692586,buy,63898.9,0.01841356,1017413178
1780929692586,buy,63898.9,0.00000001,1017413177
1780929692499,sell,63899.3,0.00046015,1017413176
1780929760167,sell,63802.2,0.00002906,1017413777
1780929760167,sell,63802.2,0.00005378,1017413776
1780929759895,buy,63801.4,0.0008852,1017413775
1780929759890,buy,63801.4,0.0025504,1017413774
1780929759888,buy,63801.4,0.0491242,1017413773
1780929759828,buy,63801.4,0.01127247,1017413772
1780929759160,sell,63801.3,0.00242182,1017413771
1780929759160,sell,63801.3,0.00003,1017413770
1780929758816,sell,63805.2,0.00001501,1017413769
1780929758816,sell,63806.3,0.00002995,1017413768
1780929758816,sell,63806.3,0.00005523,1017413767
1780929758646,sell,63807.8,0.000147,1017413766
1780929758646,sell,63811.9,0.00095,1017413765
1780929758312,buy,63812,0.000548,1017413764
1780929758310,buy,63812,0.000238,1017413763
1780929758310,buy,63812,0.00031,1017413762
1780929758306,buy,63808,0.0012,1017413761
1780929758304,buy,63808,0.022,1017413760
1780929758304,buy,63808,0.00031,1017413759
1780929758210,buy,63801,0.00152453,1017413758
1780929758206,buy,63801,0.00001567,1017413757
1780929757216,sell,63804,0.00071642,1017413756
1780929757187,sell,63804.3,0.00005664,1017413755
1780929757187,sell,63804.3,0.00003088,1017413754
1780929757187,sell,63805,0.00083,1017413753
1780929756951,sell,63809.1,0.00083,1017413752
1780929756940,sell,63809.8,0.00062263,1017413751
1780929755940,buy,63808.3,0.0012,1017413750
1780929755890,sell,63804,0.00009883,1017413749
1780929755890,sell,63804,0.00095814,1017413748
1780929755890,sell,63804,0.00019842,1017413747
1780929755721,sell,63804,0.00011158,1017413746
1780929755700,sell,63804.7,0.00007,1017413745
1780929755700,sell,63804.9,0.00001572,1017413744
1780929755700,sell,63805.2,0.00001501,1017413743
1780929755700,sell,63806.5,0.00017396,1017413742
1780929755700,sell,63806.8,0.00001572,1017413741
1780929755697,sell,63808,0.00060042,1017413740
1780929755697,sell,63808,0.00031,1017413739
1780929755694,sell,63810.9,0.00003,1017413738
1780929755694,sell,63812,0.00031,1017413737
1780929755691,sell,63814.3,0.01446485,1017413736
1780929755691,sell,63814.3,0.00904564,1017413735
1780929755691,sell,63816,0.00031,1017413734
1780929755691,sell,63816.4,0.00003182,1017413733
1780929755691,sell,63816.4,0.000058,1017413732
1780929755690,sell,63817.1,0.00071628,1017413731
1780929755690,sell,63817.5,0.01567366,1017413730
1780929755314,sell,63817.5,0.01155931,1017413729
1780929755137,buy,63817.6,0.00008,1017413728
1780929753084,sell,63817.1,0.00063665,1017413727
1780929753084,sell,63817.8,0.00007834,1017413726
1780929753084,sell,63818,0.00001501,1017413725
1780929753084,sell,63820,0.00031,1017413724
1780929753082,sell,63821,0.00003,1017413723
1780929753082,sell,63821.7,0.00116999,1017413722
1780929753073,sell,63821.7,0.00003001,1017413721
1780929753073,sell,63821.7,0.00058019,1017413720
1780929753072,buy,63821.8,0.000219,1017413719
1780929753070,sell,63822,0.00005953,1017413718
1780929753070,sell,63822,0.00003279,1017413717
1780929752596,buy,63827.7,0.00062512,1017413716
1780929751779,buy,63827.7,0.00031001,1017413715
1780929751779,buy,63827.7,0.00071628,1017413714
1780929751776,buy,63821.8,0.03,1017413713
1780929750478,sell,63821.7,0.14713149,1017413712
1780929749970,sell,63816.1,0.00000001,1017413711
1780929749970,sell,63816.1,0.00003382,1017413710
1780929749970,sell,63816.1,0.00006099,1017413709
1780929749967,sell,63817.7,0.00066605,1017413708
1780929749967,sell,63818,0.00001501,1017413707
1780929749967,sell,63821.8,0.00003,1017413706
1780929749695,sell,63821.8,0.0004715,1017413705
1780929749618,sell,63821.8,0.00061757,1017413704
1780929749367,sell,63821.9,0.00006279,1017413703
1780929749367,sell,63821.9,0.00003486,1017413702
1780929749367,sell,63827.6,0.00003,1017413701
1780929749101,buy,63827.7,0.00033385,1017413700
1780929748908,buy,63827.7,0.05339153,1017413699
1780929748908,buy,63827.7,0.0012,1017413698
1780929748896,buy,63825,0.00012002,1017413697
1780929748895,buy,63824.2,0.000015,1017413696
1780929748895,buy,63824,0.00031,1017413695
1780929748888,buy,63822.8,0.00034074,1017413694
1780929748887,sell,63822.5,0.000274,1017413693
1780929748885,buy,63822,0.00001573,1017413692
1780929748885,buy,63820,0.00031,1017413691
1780929748885,buy,63819.8,0.00002,1017413690
1780929748883,buy,63819.3,0.00046015,1017413689
1780929748883,buy,63819,0.00002,1017413688
1780929748171,buy,63817.8,0.00050016,1017413687
1780929748171,buy,63817.8,0.00071642,1017413686
1780929747286,buy,63817.8,0.00038832,1017413685
1780929747161,buy,63816.2,0.00001573,1017413684
1780929747161,buy,63816,0.00031,1017413683
1780929747161,buy,63812,0.00031,1017413682
1780929746445,sell,63811.3,0.00176471,1017413681
1780929746445,sell,63811.3,0.0012,1017413680
1780929746445,sell,63811.3,0.00062281,1017413679
1780929746203,buy,63811.4,0.00002935,1017413678
1780929815132,buy,63846,0.00879303,1017414222
1780929814730,buy,63844.8,0.0000888,1017414221
1780929814728,buy,63843.4,0.000015,1017414220
1780929814728,buy,63843.1,0.00001572,1017414219
1780929814728,buy,63841.5,0.00053753,1017414218
1780929814728,buy,63841.5,0.00089225,1017414217
1780929814718,buy,63841.1,0.00001572,1017414216
1780929814718,buy,63836.7,0.00001,1017414215
1780929813853,sell,63836.8,0.0000152,1017414214
1780929813853,sell,63836.8,0.00001999,1017414213
1780929813811,buy,63841.4,0.00013046,1017414212
1780929813613,buy,63841.4,0.0041,1017414211
1780929813613,buy,63841.4,0.0285,1017414210
1780929813358,buy,63841.1,0.00001572,1017414209
1780929813353,buy,63836.9,0.00001,1017414208
1780929812585,sell,63837.2,0.00001501,1017414207
1780929812585,sell,63837.4,0.00001572,1017414206
1780929812585,sell,63839.3,0.00001572,1017414205
